"
			WEBSALE		",http://www.dug-software.de/,"
			Taucha		",http://stores.ebay.de/DEUNIgoldschmucksilberschmuck,"
			Uhren & Schmuck		","
			eBay Shop ULTIMATE Logoerstellung Grafische Gestaltung Umsetzung		"
"
			eBay		",http://www.domaxa.de/,"
			DE		","
			04 425		","
			Taucha		",http://stores.ebay.de/tecedoshop/,"
			TV, Video & Audio		","
			eBay Shop ULTIMATE Grafische Gestaltung Umsetzung		"
"
			eBay		",http://www.domaxa.de/,"
			DE		","
			04 425		","
			Taucha		",http://stores.ebay.de/Teamsport-Hoffmann,"
			Bekleidung & Accessories		","
			eBay Shop Premium Grafische Gestaltung Umsetzung		"
"
			eBay		",http://www.domaxa.de/,"
			DE		","
			04 425		","
			Taucha		",http://stores.ebay.de/dmshopping/,"
			Schuhe		","
			eBay Shop ULTIMATE  Grafische Gestaltung  Umsetzung		"
"
			eBay		",http://www.domaxa.de/,"
			DE		","
			04 425		","
			Taucha		",http://stores.ebay.de/fototapeten-shop,"
			Dekoration, Antiquitäten & Kunst		","
			eBay Shop Classic Logoerstellung Grafische Gestaltung Umsetzung		"
"
			H H G multistore		",http://www.24pm-webdesign.de/,"
			DE		","
			02625		","
			Bautzen		",http://www.meine-holzbriketts.de/,"
			Business & Industrie		","
			Komplettkonzeption		"
"
			Bigcommerce		",http://www.redheadlabs.com/,"
			US		","
			74136		","
			Tulsa, OK		",http://www.petimmuneplus.com/,"
			Tiernahrung/ Tiere		","
			Keine Angabe seitens der Agentur		"
"
			Bigcommerce		",http://www.redheadlabs.com/,"
			US		","
			74136		","
			Tulsa, OK		",http://www.ecovessel.com/,"
			Haushalt, Haushaltsgeräte & Küche		","
			Keine Angabe seitens der Agentur		"
"
			Bigcommerce		",http://www.redheadlabs.com/,"
			US		","
			74136		","
			Tulsa, OK		",http://www.trishave.com.au/,"
			Beauty, Gesundheit, Drogerie		","
			Keine Angabe seitens der Agentur		"
"
			Bigcommerce		",http://www.redheadlabs.com/,"
			US		","
			74136		","
			Tulsa, OK		",http://www.bussecombat.com/,"
			Waffen		","
			Keine Angabe seitens der Agentur		"
"
			Bigcommerce		",http://www.redheadlabs.com/,"
			US		","
			74136		","
			Tulsa, OK		",http://www.delimmune.com/,"
			Medikamente		","
			Keine Angabe seitens der Agentur		"
"
			Bigcommerce		",http://www.simply.com.au/,"
			AU		","
			2066		","
			Lane Cove		",http://redsbaby.com.au/,"
			Baby		","
			custom template based on the bigcommerce Health and Beauty (white) design		"
"
			Bigcommerce		",http://www.simply.com.au/,"
			AU		","
			2066		","
			Lane Cove		",http://shop.collettedinnigan.com.au/,"
			Bekleidung & Accessories		","
			custom ecommerce design that seamlessly incorporated the current branding		"
"
			Bigcommerce		",http://www.simply.com.au/,"
			AU		","
			2066		","
			Lane Cove		",http://sykes.com.au/,"
			Sportartikel  & Freizeit		","
			mobile & tablet friendly, has dual product templates		"
"
			Intershop		",https://www.ecomparo.de/go/dotsource,"
			DE		","
			07743		","
			Jena		",http://www.otto.de,"
			Bekleidung & Accessories		","
			Für die Umsetzung und Erweiterung des Shopsystems liefern wir ein umfassendes Consulting für die Enterprise Lösung Intershop Enfinity.		"
"
			Intershop		",https://www.ecomparo.de/go/dotsource,"
			DE		","
			07743		","
			Jena		",http://www.baur.de/,"
			Bekleidung & Accessories		","
			Die Social-Commerce-Lösung SCOOBOX machte es Baur möglich, den voll funktionsfähigen Shop per Applikation direkt auf Facebook einzubinden.		"
"
			Hybris by SAP		",https://www.ecomparo.de/go/dotsource,"
			DE		","
			07743		","
			Jena		",http://www.grohe.com/de/,"
			Heimwerker & Baumarkt		","
			Konzeption, Design, Umsetzung der Multimandanten-Plattform, technischer Betrieb, Schnittstellen Entwicklung		"
"
